KB_ID,Title,Category,Source,Confidence,Last_Updated,Section,Content
KB-DEMO-001,Lab Access Troubleshooting Guide,Technical Support,MKDocs,0.95,2025-11-07,Overview,"This guide helps resolve common lab access issues in the PCTE environment. Follow these steps to diagnose and fix access problems."
KB-DEMO-001,Lab Access Troubleshooting Guide,Technical Support,MKDocs,0.95,2025-11-07,Quick Diagnosis,"Can't see lab in portal? → Check enrollment status. Lab shows but won't launch? → Verify browser compatibility. Lab crashes after launch? → Check system requirements. Permission denied error? → Contact administrator"
KB-DEMO-001,Lab Access Troubleshooting Guide,Technical Support,MKDocs,0.95,2025-11-07,Step 1: Verify Account Status,"Log into the Training Portal with your PCTE credentials. Navigate to My Profile → Account Status. Verify your account shows as Active. Check that your role includes Lab Access permission. If locked, wait 15 minutes or contact Help Desk."
KB-DEMO-001,Lab Access Troubleshooting Guide,Technical Support,MKDocs,0.95,2025-11-07,Step 2: Check Lab Availability,"Go to Training Portal → Available Labs. Verify the lab you want to access is listed. Check the lab status indicator (green = available). Look for maintenance windows in the announcements. If lab is unavailable, try an alternative module."
KB-DEMO-001,Lab Access Troubleshooting Guide,Technical Support,MKDocs,0.95,2025-11-07,Step 3: Browser Requirements,"Supported: Chrome 90+, Firefox 88+, Edge 90+. Not supported: Internet Explorer, Safari on Windows. Clear browser cache: Ctrl+Shift+Delete. Disable extensions: Try incognito/private mode. Enable JavaScript and WebSockets."
KB-DEMO-001,Lab Access Troubleshooting Guide,Technical Support,MKDocs,0.95,2025-11-07,Step 4: Network Connectivity,"On-site: Ensure you're on PCTE network. Remote: Verify VPN connection to PCTE. Check VPN client version (must be 2.3+). Verify firewall allows ports: 443, 8080, 8443. Test connectivity: ping lab.pcte.mil"
KB-DEMO-001,Lab Access Troubleshooting Guide,Technical Support,MKDocs,0.95,2025-11-07,Step 5: Module-Specific Access,"Confirm you've completed prerequisite modules. Verify you're enrolled in the correct training course. Check module completion status in dashboard. For advanced modules, verify instructor approval."
KB-DEMO-001,Lab Access Troubleshooting Guide,Technical Support,MKDocs,0.95,2025-11-07,Error: Access Denied,"Cause: Role doesn't include lab access. Solution: Contact training administrator to update role."
KB-DEMO-001,Lab Access Troubleshooting Guide,Technical Support,MKDocs,0.95,2025-11-07,Error: Lab Unavailable,"Cause: Lab is down for maintenance. Solution: Check announcements or try different lab."
KB-DEMO-001,Lab Access Troubleshooting Guide,Technical Support,MKDocs,0.95,2025-11-07,Error: Module Not Found,"Cause: Incorrect module ID or not enrolled. Solution: Verify module number and enrollment status."
KB-DEMO-001,Lab Access Troubleshooting Guide,Technical Support,MKDocs,0.95,2025-11-07,Error: Connection Timeout,"Cause: Network connectivity issue. Solution: Check VPN, firewall, and network connection."
KB-DEMO-001,Lab Access Troubleshooting Guide,Technical Support,MKDocs,0.95,2025-11-07,Error: Browser Not Supported,"Cause: Using unsupported browser. Solution: Switch to Chrome, Firefox, or Edge."
KB-DEMO-001,Lab Access Troubleshooting Guide,Technical Support,MKDocs,0.95,2025-11-07,Advanced Troubleshooting,"Clear all browser data. Try different network. Check system resources (4GB+ RAM, 2GB free disk). Verify SSO status at sso.pcte.mil."
KB-DEMO-001,Lab Access Troubleshooting Guide,Technical Support,MKDocs,0.95,2025-11-07,Contact Support,"Response time: 2 hours during business hours. Ticket priority: High. Include: Lab module number, Error message, Browser/OS version, Steps already tried."
KB-DEMO-001,Lab Access Troubleshooting Guide,Technical Support,MKDocs,0.95,2025-11-07,Related Articles,"KB-DEMO-002: Password Reset Guide, KB-DEMO-003: Training Portal Access, KB-DEMO-004: VPN Configuration"
